primary_stock,final_score,avg_sentiment_score,avg_event_score,sector_score,avg_technical_score,avg_risk_penalty,total_events,sector,total_post_count,last_date,confidence_score,position_size_percent,date,Date,ticker,Close,Volume,SMA_20,SMA_50,RSI,MACD,MACD_signal,MACD_histogram,BB_upper,BB_lower,atr,price_change,volume_change,price_change_lag1,price_change_lag3,signal
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-06-29,A,100.98265193201794,2954354,,,,-0.02155274800903902,-0.02155274800903902,0.0,,,,,,,,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-06-30,A,100.69534695567106,3688875,,,,-0.044471663501109385,-0.026136531107453093,-0.018335132393656292,,,,-0.2845092407954386,24.86232184768651,,,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-01,A,101.97994765786792,3416182,,,,0.04030837514038803,-0.012847549857884869,0.053155924998272895,,,,1.2757299528074473,-7.392307952966693,-0.2845092407954386,,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-02,A,105.01523099667946,4474675,,,,0.3481573769082939,0.05935343549535089,0.288803941412943,,,,2.976353105214957,30.984678216792894,1.2757299528074473,,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-03,A,104.53614787322827,3652991,,,,0.5469189368224544,0.1568665357607716,0.3900524010616828,,,,-0.4562034658252001,-18.362987256057707,2.976353105214957,-0.2845092407954386,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-04,A,104.05709758532538,3370690,,,,0.6579506581209994,0.2570833602328172,0.4008672978881822,,,,-0.45826280922829365,-7.727941295229035,-0.4562034658252001,1.2757299528074473,hold   
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-05,A,107.20474684233565,3428388,,,,0.9882922220208922,0.40332513259043223,0.5849670894304599,,,,3.024925094061204,1.7117563466233943,-0.45826280922829365,2.976353105214957,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-06,A,108.72883992663694,1528178,,,,1.3571787079262845,0.5940958476576027,0.7630828602686818,,,,1.4216656717101817,-55.425756944663206,3.024925094061204,-0.4562034658252001,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-07,A,107.77911478076251,3663046,,,,1.5547187470025006,0.7862204275265823,0.7684983194759183,,,,-0.8734804367592219,139.70021816830237,1.4216656717101817,-0.45826280922829365,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-08,A,108.85345849392994,3586644,,,,1.7772260083546496,0.9844215436921958,0.7928044646624538,,,,0.9968013889822602,-2.0857504928957993,-0.8734804367592219,3.024925094061204,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-09,A,107.91584673430049,2305416,,,,1.856260915980759,1.1587894181499085,0.6974714978308505,,,,-0.8613522919730943,-35.72219601387815,0.9968013889822602,1.4216656717101817,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-10,A,106.97361085315545,3570406,,,,1.8216191503658377,1.2913553645930944,0.5302637857727432,,,,-0.8731209638422444,54.87035745392588,-0.8613522919730943,-0.8734804367592219,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-11,A,107.446759022283,3446609,,,,1.8112173714426558,1.3953277659630068,0.41588960547964904,,,,0.44230363484416557,-3.4673087598441232,-0.8731209638422444,0.9968013889822602,hold
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-12,A,103.6094221589629,3763139,,,56.399627864748304,1.4760692180106258,1.4114760563725306,0.06459316163809525,,,107.73170873291038,-3.5713844682130347,9.183809361607299,0.44230363484416557,-0.8613522919730943,strong_buy
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-13,A,100.1488101199323,4416664,,,47.378876018157285,0.9203616192905496,1.3132531689561344,-0.3928915496655848,,,107.61406596449221,-3.340055341415904,17.36648579815947,-3.5713844682130347,-0.8731209638422444,buy
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-14,A,99.01345868744583,4385659,,,45.58676169606856,0.3836747610944297,1.1273374873837936,-0.7436627262893638,,,107.48584512410439,-1.1336644250958594,-0.7020004238493138,-3.340055341415904,0.44230363484416557,buy
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-15,A,96.97702007277246,4385357,,,38.642464144795646,-0.20387531654432287,0.8610949265981703,-1.0649702431424932,,,107.153755973383,-2.0567290969016327,-0.006886080290324781,-1.1336644250958594,-3.5713844682130347,buy
A,46.40787533182683,63.84533798180719,39.48733333333335,71.86758176734051,25.00000000000002,39.012428810308286,21,Technology,34.0,2025-07-13,0.817,10.0,2025-07-13,2025-07-16,A,97.5947383639585,4350769,,,31.692799241823213,-0.6128521510836681,0.5663055110618027,-1.179157662145471,,,106.62830469092356,0.6369738838360783,-0.7887157191535321,-2.0567290969016327,-3.340055341415904,buy
